month,region,category,channel,units,unit_price,revenue,returns
2026-01,north,laptops,retail,123,1248.74,153595.02,4
2026-01,north,monitors,partner,5,446.16,2230.80,1
2026-01,north,keyboards,retail,40,127.50,5100.00,3
2026-01,north,headsets,retail,86,271.93,23385.98,6
2026-01,south,laptops,online,53,961.33,50950.49,3
2026-01,south,monitors,partner,48,485.99,23327.52,2
2026-01,south,keyboards,retail,77,116.80,8993.60,0
2026-01,south,headsets,retail,39,44.21,1724.19,0
2026-01,east,laptops,partner,43,1212.27,52127.61,1
2026-01,east,monitors,partner,20,538.31,10766.20,1
2026-01,east,keyboards,retail,86,108.12,9298.32,4
2026-01,east,headsets,online,135,133.05,17961.75,9
2026-01,west,laptops,online,64,1431.17,91594.88,4
2026-01,west,monitors,online,95,183.40,17423.00,2
2026-01,west,keyboards,online,129,51.88,6692.52,9
2026-01,west,headsets,retail,57,163.79,9336.03,1
2026-02,north,laptops,partner,135,1140.34,153945.90,8
2026-02,north,monitors,online,13,298.90,3885.70,1
2026-02,north,keyboards,online,64,83.54,5346.56,3
2026-02,north,headsets,online,78,254.71,19867.38,4
2026-02,south,laptops,partner,130,899.55,116941.50,5
2026-02,south,monitors,partner,77,294.28,22659.56,0
2026-02,south,keyboards,retail,90,131.32,11818.80,1
2026-02,south,headsets,retail,47,175.51,8248.97,0
2026-02,east,laptops,partner,49,961.77,47126.73,2
2026-02,east,monitors,retail,68,210.36,14304.48,3
2026-02,east,keyboards,online,76,46.75,3553.00,5
2026-02,east,headsets,partner,41,127.51,5227.91,2
2026-02,west,laptops,partner,132,1768.86,233489.52,11
2026-02,west,monitors,online,73,324.30,23673.90,5
2026-02,west,keyboards,online,131,123.88,16228.28,8
2026-02,west,headsets,partner,140,124.22,17390.80,3
2026-03,north,laptops,online,68,1797.81,122251.08,3
2026-03,north,monitors,retail,98,531.47,52084.06,8
2026-03,north,keyboards,retail,88,132.19,11632.72,5
2026-03,north,headsets,partner,9,164.59,1481.31,0
2026-03,south,laptops,retail,89,1848.69,164533.41,7
2026-03,south,monitors,retail,20,157.31,3146.20,0
2026-03,south,keyboards,partner,21,34.96,734.16,1
2026-03,south,headsets,online,137,279.03,38227.11,7
2026-03,east,laptops,partner,104,899.06,93502.24,8
2026-03,east,monitors,partner,95,150.00,14250.00,0
2026-03,east,keyboards,retail,47,38.35,1802.45,0
2026-03,east,headsets,retail,75,195.23,14642.25,3
2026-03,west,laptops,online,136,946.57,128733.52,11
2026-03,west,monitors,partner,100,330.14,33014.00,3
2026-03,west,keyboards,online,52,130.42,6781.84,1
2026-03,west,headsets,retail,46,216.94,9979.24,3
2026-04,north,laptops,retail,111,1203.69,133609.59,4
2026-04,north,monitors,retail,94,358.49,33698.06,6
2026-04,north,keyboards,retail,91,68.12,6198.92,3
2026-04,north,headsets,retail,104,196.91,20478.64,3
2026-04,south,laptops,partner,24,1063.84,25532.16,0
2026-04,south,monitors,partner,33,476.19,15714.27,1
2026-04,south,keyboards,retail,89,99.30,8837.70,4
2026-04,south,headsets,retail,130,258.37,33588.10,9
2026-04,east,laptops,partner,29,1058.17,30686.93,0
2026-04,east,monitors,retail,41,347.62,14252.42,0
2026-04,east,keyboards,partner,64,60.80,3891.20,4
2026-04,east,headsets,online,96,97.99,9407.04,7
2026-04,west,laptops,online,24,1195.85,28700.40,2
2026-04,west,monitors,partner,115,470.23,54076.45,6
2026-04,west,keyboards,retail,38,147.95,5622.10,0
2026-04,west,headsets,retail,47,129.66,6094.02,1
2026-05,north,laptops,partner,100,1739.14,173914.00,2
2026-05,north,monitors,retail,42,310.86,13056.12,0
2026-05,north,keyboards,online,49,37.95,1859.55,1
2026-05,north,headsets,retail,106,158.52,16803.12,4
2026-05,south,laptops,online,101,1548.65,156413.65,5
2026-05,south,monitors,retail,62,465.40,28854.80,4
2026-05,south,keyboards,partner,132,134.33,17731.56,11
2026-05,south,headsets,retail,76,85.48,6496.48,4
2026-05,east,laptops,online,128,1002.61,128334.08,7
2026-05,east,monitors,retail,131,441.65,57856.15,6
2026-05,east,keyboards,retail,19,90.34,1716.46,1
2026-05,east,headsets,retail,100,105.03,10503.00,5
2026-05,west,laptops,online,132,1467.86,193757.52,2
2026-05,west,monitors,online,35,344.83,12069.05,0
2026-05,west,keyboards,online,131,176.13,23073.03,7
2026-05,west,headsets,online,56,159.43,8928.08,2
2026-06,north,laptops,partner,14,1018.99,14265.86,1
2026-06,north,monitors,online,62,416.76,25839.12,2
2026-06,north,keyboards,retail,4,120.64,482.56,0
2026-06,north,headsets,retail,16,212.96,3407.36,0
2026-06,south,laptops,retail,10,1053.25,10532.50,0
2026-06,south,monitors,online,63,411.06,25896.78,5
2026-06,south,keyboards,online,106,177.37,18801.22,0
2026-06,south,headsets,retail,14,210.94,2953.16,1
2026-06,east,laptops,partner,127,1408.38,178864.26,10
2026-06,east,monitors,online,139,340.13,47278.07,0
2026-06,east,keyboards,retail,92,122.45,11265.40,1
2026-06,east,headsets,retail,83,148.66,12338.78,4
2026-06,west,laptops,partner,105,1744.76,183199.80,3
2026-06,west,monitors,online,119,511.91,60917.29,6
2026-06,west,keyboards,retail,81,68.79,5571.99,2
2026-06,west,headsets,retail,91,200.79,18271.89,2
